name;datetime;tempmax;tempmin;temp;dew;humidity;precip;windspeed;winddir;sealevelpressure;cloudcover;solarradiation;solarenergy;uvindex;stations
Dong Thap;02/03/2015;33.1;22.1;28;20.4;65.9;0;23.3;116.1;1011.6;39.6;272.7;23.5;10;48907099999,48912599999,remote
Dong Thap;03/03/2015;33.1;22.1;27.4;21.3;71.6;0;14.4;194.6;1010.4;50.4;249.6;21.5;9;48907099999,48912599999,remote
Dong Thap;04/03/2015;32.3;24.1;28.3;22.8;73.4;0.2;14.4;183.5;1010.7;45.8;233.6;20.2;9;48907099999,48912599999,remote
Dong Thap;05/03/2015;33.1;24.1;28.3;21.6;69.5;0;14.8;126.6;1011.8;50.8;278.2;24;9;48907099999,48912599999,remote
Dong Thap;06/03/2015;33.1;24.8;28.3;22.3;72.1;0.1;14;130.8;1011.4;63.6;251.8;21.8;9;48907099999,48912599999,remote
Dong Thap;07/03/2015;33.1;24.1;28.1;22.4;73.9;0;14.8;126.9;1011.4;49;243;20.8;8;48907099999,48912599999,remote
Dong Thap;08/03/2015;32.1;24.1;27.9;21.7;70.3;0;18.3;117;1012.6;63.3;238;20.3;9;48907099999,48912599999,remote
Dong Thap;09/03/2015;33.1;23.1;27.8;22.8;75.7;0.1;16.6;114.9;1013.2;55.6;247.5;21.4;9;48907099999,48912599999,remote
Dong Thap;10/03/2015;31.1;24.1;27.5;21.3;70.7;0;20.5;121.5;1013.2;57.3;280.2;24.2;10;48907099999,48912599999,remote
Dong Thap;11/03/2015;33.1;23.1;27.9;19.3;62.8;0;18.4;116.5;1013.9;39.2;301;26;10;48907099999,48912599999,remote
Dong Thap;12/03/2015;32.1;23.6;27.8;20.7;66.9;0;22.3;116.9;1013.4;67.9;278.8;24.2;10;48907099999,48912599999,remote
Dong Thap;13/03/2015;32.8;23.1;27.8;21.6;71;0;22.3;115.7;1013.2;72;238.9;20.8;9;48907099999,48912599999,remote
Dong Thap;14/03/2015;33.1;23.1;28;22.3;73.6;0.3;16.6;132.8;1014.2;63.6;236.5;20.2;9;48907099999,48912599999,remote
Dong Thap;15/03/2015;32.1;24.1;27.9;22.2;72.6;0.3;13;137.9;1014.1;50;228.6;19.9;8;48907099999,48912599999,remote
Dong Thap;16/03/2015;32.1;22.1;27.8;21;68.9;0;16.6;148.6;1013.7;42.2;260.4;22.7;10;48907099999,48912599999,remote
Dong Thap;17/03/2015;32.1;22.1;27.4;20.5;68.4;0;15.5;159.5;1011.5;56.5;273.1;23.7;10;48907099999,48912599999,remote
Dong Thap;18/03/2015;32.1;22.1;27.3;20.8;70;0;15.8;163.9;1010.1;49.8;297.8;25.7;10;48907099999,48912599999,remote
Dong Thap;19/03/2015;34.1;23.1;28.4;21.4;68.4;0;15.8;176.2;1010.1;36.1;289.2;25.1;10;48907099999,48912599999,remote
Dong Thap;20/03/2015;33.1;25.7;28.5;21.5;67.3;0.1;15.1;144.4;1011;52.1;202.9;17.4;6;48907099999,48912599999,remote
Dong Thap;21/03/2015;32.1;24.1;28.1;20.8;66.4;0;15.1;124.3;1012.3;48.9;252.6;21.9;9;48907099999,48912599999,remote
Dong Thap;22/03/2015;33.1;22.1;27.9;21;68;0;18.3;128.4;1012;58.6;256.2;22;9;48907099999,48912599999,remote
Dong Thap;23/03/2015;33.1;24.1;28.5;21.5;68.2;0;20.5;128.7;1011.3;48.2;252.3;21.7;9;48907099999,48912599999,remote
Dong Thap;24/03/2015;33.1;24.9;28.7;21.4;67.4;0;24.1;109.2;1011.9;45.4;245.6;21.2;8;48907099999,48912599999,remote
Dong Thap;25/03/2015;34.1;24.9;29.2;21.1;63.7;0;27.7;101.8;1012.6;47;276.5;23.9;10;48907099999,48912599999,remote
Dong Thap;26/03/2015;34.1;25.4;29.3;21.7;65.4;0;24.1;100.9;1013.4;53.4;263.1;22.7;9;48907099999,48912599999,remote
Dong Thap;27/03/2015;34.1;25.7;29.5;21.4;63.9;0;30.2;99.6;1013.1;52.6;267.9;23.1;9;48907099999,48912599999,remote
Dong Thap;28/03/2015;34.1;25.1;29.4;21.4;63.8;0;27.7;103.3;1011.6;59.8;269;23.2;9;48907099999,48912599999,remote
Dong Thap;29/03/2015;33.1;25.4;29.2;22;66.9;0;27.7;105.5;1010.8;54.2;270.1;23.2;9;48907099999,48912599999,remote
Dong Thap;30/03/2015;33.1;25.4;29.2;22.4;68.4;0;22.3;104.4;1010.9;61.6;284.6;24.6;10;48907099999,48912599999,remote
Dong Thap;31/03/2015;33.1;25.1;29.1;22.8;70.4;0.3;14.8;122.7;1010.9;54.6;239.4;20.8;10;48907099999,48912599999,remote
Dong Thap;01/04/2015;33.1;25.1;29.3;23.2;71.5;0;18;146.6;1010.1;57.5;251.9;21.8;9;48907099999,48912599999,remote
Dong Thap;02/04/2015;33.3;25.1;29.5;23.8;73.1;14;18;215.3;1008.7;52;252.6;21.7;9;48907099999,48912599999,remote
Dong Thap;03/04/2015;35.1;26.1;30;23.8;71.2;0;18.3;220.5;1007.1;43.6;259.5;22.5;9;48907099999,48912599999,remote
Dong Thap;04/04/2015;34.1;26.1;29.9;23.5;70.2;1.3;16.6;161.4;1007;57;245.4;21.2;9;48907099999,48912599999,remote
Dong Thap;05/04/2015;34.1;24.1;29.5;22.8;69.4;0;18;177.3;1008;54.4;254.1;21.8;9;48907099999,48912599999,remote
Dong Thap;06/04/2015;35.1;24.1;29.5;22.4;68.4;28;14.8;146.9;1008.8;43.6;257.5;22.4;9;48907099999,48912599999,remote
Dong Thap;07/04/2015;34.8;24.1;29.6;22.4;67.9;0.1;14.8;117.1;1008.9;43.3;282.3;24.4;10;48907099999,48912599999,remote
Dong Thap;08/04/2015;34.1;25.1;29.4;21.5;64.5;0;24.1;108.1;1010;38.6;300.8;26;10;48907099999,48912599999,remote
Dong Thap;09/04/2015;34.1;25.6;29.7;22;64.7;0;20.5;113.7;1010.5;60.5;273.2;23.6;9;48907099999,48912599999,remote
Dong Thap;10/04/2015;34.1;25.1;29.6;22.4;67.5;0;19.1;114.6;1010.4;57;261.1;22.7;9;48907099999,48912599999,remote
Dong Thap;11/04/2015;34.1;26.6;29.7;22.5;66.4;0.5;20.5;113.1;1011.3;71.1;236.4;20.3;8;48907099999,48912599999,remote
Dong Thap;12/04/2015;32.1;25.1;28.3;23.2;75;3.3;18.4;88.9;1012.7;71.7;239.1;20.7;9;48907099999,48912599999,remote
Dong Thap;13/04/2015;33.1;24.1;27.3;23.2;79.9;3;27;35;1012.3;75.7;205.4;17.8;8;48907099999,48912599999,remote
Dong Thap;14/04/2015;33.1;25.1;28.7;22.5;71.7;9;24.1;96.8;1010.7;72.7;232.9;20.3;9;48907099999,48912599999,remote
Dong Thap;15/04/2015;33.1;25.4;28.9;21;63.5;0;15.3;102.9;1011.4;49.7;275.8;23.9;10;48907099999,48912599999,remote
Dong Thap;16/04/2015;33.1;25.1;29.2;22.6;69.7;0.3;13.9;115;1012.1;51.7;271.9;23.4;9;48907099999,48912599999,remote
Dong Thap;17/04/2015;33.7;25.1;29.3;23.5;73.4;0.1;14.4;139.9;1010.5;61.6;250.8;21.7;9;48907099999,48912599999,remote
Dong Thap;18/04/2015;33.5;26.1;29.4;23.5;72.3;0;18;185.9;1009.5;68.2;260.5;22.4;8;48907099999,48912599999,remote
Dong Thap;19/04/2015;34.1;25.1;29.8;23.9;72.6;0;14.4;191.4;1009.4;62.5;304;26.2;10;48907099999,48912599999,remote
Dong Thap;20/04/2015;33.1;26.1;29.5;24;73.4;0.1;21.6;228;1009.6;47;274.7;23.8;10;48907099999,48912599999,remote
Dong Thap;21/04/2015;34.2;25.1;30.2;24.2;71.9;0;18;241.1;1008.3;41.3;296.5;25.7;10;48907099999,48912599999,remote
Dong Thap;22/04/2015;34.1;27.1;30.2;24.2;72.1;0.7;14.8;122;1009.5;65.4;247.2;21.3;8;48907099999,48912599999,remote
Dong Thap;23/04/2015;34.1;25.9;29.9;23.5;70.4;0.4;20.5;79.3;1010.9;71.1;271.1;23.3;9;48907099999,48912599999,remote
Dong Thap;24/04/2015;34.1;26.1;29.9;23;68.3;0.1;18.4;66.2;1010.8;68.6;279.1;24.1;10;48907099999,48912599999,remote
Dong Thap;25/04/2015;33.1;26.1;29.8;23.1;68.6;1.5;16.6;94.2;1010.6;66;256.3;22.2;9;48907099999,48912599999,remote
Dong Thap;26/04/2015;35.1;26.3;30.1;23.3;68.3;0.1;20.5;93.4;1010.3;66.4;243.4;21;9;48907099999,48912599999,remote
Dong Thap;27/04/2015;35.1;26.7;30.3;23.5;68.7;0.2;22.3;103.6;1010.3;60;252.4;21.8;9;48907099999,48912599999,remote
Dong Thap;28/04/2015;34.6;26.1;29.9;23.6;71.1;0.1;15.3;109.2;1010.2;58.1;209.1;18;7;48907099999,48912599999,remote
Dong Thap;29/04/2015;34.1;17.9;29.2;23.3;72.9;0.1;11.3;133.5;1010;54.4;234.9;20.4;9;48907099999,48912599999,remote
Dong Thap;30/04/2015;35.1;26;29.6;24.2;74.8;1.5;14.8;235.5;1010;59.8;265.8;22.9;9;48907099999,48912599999,remote
Dong Thap;01/05/2015;36.1;26.1;29.8;25;77.6;60.5;22.3;200.2;1009.4;63.1;236.9;20.5;8;48907099999,48912599999,remote
Dong Thap;02/05/2015;35.1;26.1;30;24.8;74.9;0.2;18;220;1009.4;56.3;258;22.5;9;48907099999,48912599999,remote
Dong Thap;03/05/2015;35.1;26.1;29.9;24.7;75.4;5.8;18;224.9;1009.7;63.1;229.8;19.7;9;48907099999,48912599999,remote
Dong Thap;04/05/2015;35.1;26.1;30.6;24.2;71.2;0.1;18;225.6;1009.4;42.3;277.4;23.8;9;48907099999,48912599999,remote
Dong Thap;05/05/2015;35.1;26.1;30.2;24.4;73;0.4;19.9;210.4;1008.4;49.5;242.5;21;8;48907099999,48912599999,remote
Dong Thap;06/05/2015;36.1;26.1;30.9;24.3;69.7;0.3;16.6;235.9;1007.7;42.8;279;24.1;9;48907099999,48912599999,remote
Dong Thap;07/05/2015;35.1;26.1;30.7;24.6;71.3;0.7;14.4;203.9;1008.3;58.1;245.5;21.4;9;48907099999,48912599999,remote
Dong Thap;08/05/2015;34.1;27.1;30.1;24.6;73.5;0.5;13;198.9;1007.9;66.7;244.9;21.2;8;48907099999,48912599999,remote
Dong Thap;09/05/2015;35.1;26.1;30.2;24.7;73.8;4.4;18;226.8;1008.1;58.8;228.3;19.8;8;48907099999,48912599999,remote
Dong Thap;10/05/2015;36.1;26.1;30.5;24.5;72.1;0.1;18;228.6;1008;48.7;277.9;23.9;10;48907099999,48912599999,remote
Dong Thap;11/05/2015;35.1;26.1;30.7;24.6;71.2;2.6;15.3;202;1008.6;54;221.8;19.2;9;48907099999,48912599999,remote
Dong Thap;12/05/2015;35.1;26.1;29.3;24.6;77.3;0.8;10.8;200;1009.4;69.8;212;18.3;8;48907099999,48912599999,remote
Dong Thap;13/05/2015;35.1;26.1;29.3;24.4;76.1;0.1;16.5;159;1009.5;60.9;240.8;20.7;8;48907099999,48912599999,remote
Dong Thap;14/05/2015;34.1;25.1;30.4;23.8;69.7;0;13.3;114.9;1010.7;53.9;296.5;25.6;10;48907099999,48912599999,remote
Dong Thap;15/05/2015;35.1;25.1;30.8;24;68.7;0.2;11.2;205.5;1010.8;52.5;265.4;23.1;9;48907099999,48912599999,remote
Dong Thap;16/05/2015;35.1;25.1;31.2;23.2;64.4;0.2;18;221.5;1009.2;42.3;271.5;23.4;9;48907099999,48912599999,remote
Dong Thap;17/05/2015;35.1;26.1;30.6;24.6;71.1;1.2;18;228.3;1008.4;58.2;261.8;22.5;9;48907099999,48912599999,remote
Dong Thap;18/05/2015;36.1;26.1;31.2;24.5;68.7;0;25.2;238.4;1008.5;43.5;246;21.2;8;48907099999,48912599999,remote
Dong Thap;19/05/2015;35.4;27.1;31.9;25.2;69.1;0;21.6;241.9;1008.6;55.4;264.7;22.9;9;48907099999,48912599999,remote
Dong Thap;20/05/2015;34.1;27.1;29.5;24.9;76.7;14.5;32.4;226.5;1009.3;70.4;227.2;19.5;9;48907099999,48912599999,remote
Dong Thap;21/05/2015;35.1;26.1;30.3;24.9;74;1.7;21.9;222.1;1009.6;62.2;246.8;21.3;9;48907099999,48912599999,remote
Dong Thap;22/05/2015;34.1;25.1;29.8;25.7;79.3;17.6;25.2;224.3;1009.4;67.4;209.8;17.9;9;48907099999,48912599999,remote
Dong Thap;23/05/2015;33.1;25.2;29.5;24.1;73.8;28.5;22.3;252.2;1009.6;60.1;236;20.4;9;48907099999,48912599999,remote
Dong Thap;24/05/2015;33.1;26.1;29.7;25;76.6;31;25.2;244.8;1009;51;250.9;21.7;9;48907099999,48912599999,remote
Dong Thap;25/05/2015;32.1;25.9;28.4;24.9;81.7;0.8;36;228.2;1008.9;47.2;224.5;19.3;9;48907099999,48912599999,remote
Dong Thap;26/05/2015;32.1;25.1;28.2;24.3;80.3;16.8;29.5;236.7;1010.2;64.7;201.9;17.5;8;48907099999,48912599999,remote
Dong Thap;27/05/2015;33.1;26.1;29.6;23.7;72.2;0;21.6;244.3;1009.6;59.4;262.8;22.9;9;48907099999,48912599999,remote
Dong Thap;28/05/2015;35.1;25.1;30;24.8;74.6;3.2;28.8;243.9;1008.1;53.7;255.2;22;8;48907099999,48912599999,remote
Dong Thap;29/05/2015;34.1;26.1;29;24.8;79;3;22.3;233.2;1008.7;56.7;217.5;18.7;8;48907099999,48912599999,remote
Dong Thap;30/05/2015;33.1;26.1;29.1;24.9;79;0.1;20.5;233.8;1009.3;65.3;217.5;18.9;8;48907099999,48912599999,remote
Dong Thap;31/05/2015;35.1;26.1;30.1;24.6;74.4;5.1;22.3;247.1;1008.4;56.2;246.6;21.3;9;48907099999,48912599999,remote
Dong Thap;01/06/2015;35.1;26.1;30.6;25.2;74.3;1.3;21.6;241.9;1007.3;62.9;264.3;22.9;9;48907099999,48912599999,remote
Dong Thap;02/06/2015;34.1;26.6;29.2;25.3;80.2;0.1;25.2;210.9;1008.7;70.4;227.1;19.6;8;48907099999,48912599999,remote
Dong Thap;03/06/2015;35.1;26.1;29.4;24.5;76.7;0;14.7;211.6;1009.2;58.5;255.3;22.2;9;48907099999,48912599999,remote
Dong Thap;04/06/2015;35.1;25.1;30.3;24.4;72.5;0;13;142.2;1008.5;59.2;284.5;24.5;9;48907099999,48912599999,remote
Dong Thap;05/06/2015;35.1;25.1;30.9;24.3;69.9;0;14.4;215.2;1007.6;73.5;255.9;22.1;10;48907099999,48912599999,remote
Dong Thap;06/06/2015;34.1;26.1;29.5;24.9;77.4;8.3;16.6;202.8;1007.7;73.5;205.9;18;8;48907099999,48912599999,remote
Dong Thap;07/06/2015;35.1;25.9;29.4;24.6;77;0.7;14.7;200.5;1008;72.5;229;19.9;8;48907099999,48912599999,remote
Dong Thap;08/06/2015;34.1;26.1;29.5;24.4;76.1;11.9;19.7;205.7;1008.6;53.6;267.9;23.2;9;48907099999,48912599999,remote
Dong Thap;09/06/2015;35.1;25.1;30;24.4;74;0.2;16.6;239.8;1008.3;58.2;262.3;22.6;9;48907099999,48912599999,remote
Dong Thap;10/06/2015;35.1;25.1;28.9;25.3;82.3;0.9;20.5;200.6;1008.1;55.9;241.5;20.8;9;48907099999,48912599999,remote
Dong Thap;11/06/2015;35.1;26.1;30.4;24.7;73.3;1;16.6;195.4;1008;59.3;271.3;23.2;9;48907099999,48912599999,remote
Dong Thap;12/06/2015;34.1;26.1;29.3;24.9;78.4;11.2;18.4;219.8;1008.3;75.2;224;19.3;7;48907099999,48912599999,remote
Dong Thap;13/06/2015;34.1;26.1;29.7;25.1;77.3;0.2;18.4;272.2;1007.7;68.5;237;20.6;8;48907099999,48912599999,remote
Dong Thap;14/06/2015;33.1;24.1;28.1;24.5;81.8;0.6;25.2;206.4;1007.3;79.1;185.5;16.1;7;48907099999,48912599999,remote
Dong Thap;15/06/2015;33.1;25.1;27.8;24.9;85.1;1.9;18;203.8;1007.5;70.6;160.3;13.8;6;48907099999,48912599999,remote
Dong Thap;16/06/2015;30.4;25.1;26.7;24.4;87.4;1.4;20.5;239.4;1007.9;81.2;122.4;10.5;5;48907099999,48912599999,remote
Dong Thap;17/06/2015;30.1;24.1;26;24.1;89.6;24.2;14.8;230.8;1007.4;82.4;132.1;11.4;6;48907099999,48912599999,remote
Dong Thap;18/06/2015;32.1;24.1;27.9;24;80.7;20.2;25.2;252.6;1007.4;76.3;116.1;10;4;48907099999,48912599999,remote
Dong Thap;19/06/2015;32.1;25.1;27.8;24.1;81.4;41.5;22.3;251.9;1007.6;71.7;227.8;19.5;8;48907099999,48912599999,remote
Dong Thap;20/06/2015;31.1;24.9;27.1;24.1;84.1;47.3;31;248.9;1008;84.8;73.3;6.3;2;48907099999,48912599999,remote
Dong Thap;21/06/2015;30.1;25.1;26.7;24.6;88.8;3;25.2;243;1007.9;87.6;123.1;10.6;5;48907099999,48912599999,remote
Dong Thap;22/06/2015;29.1;24.1;26.8;24.6;88;21.4;24.6;238;1007.8;91.1;142.2;12.2;6;48907099999,48912599999,remote
Dong Thap;23/06/2015;27.7;24.1;26.3;24.1;88.3;7.6;21.6;242.1;1008.4;94.6;115.6;10;4;48907099999,48912599999,remote
Dong Thap;24/06/2015;30.1;23.6;25.4;23.4;89.3;80.2;36;246.8;1009.6;94.1;107.4;9.2;4;48907099999,48912599999,remote
Dong Thap;25/06/2015;29.1;24.1;26.8;23.7;83.4;13.1;25.9;245.2;1009.5;80.9;117.1;10;5;48907099999,48912599999,remote
Dong Thap;26/06/2015;30.1;24.9;26.8;24.5;87.9;14;14.8;240.9;1009.9;74.1;174.5;15.2;7;48907099999,48912599999,remote
Dong Thap;27/06/2015;34.1;24.1;27.9;25;85.6;0.8;13;234.7;1010.8;57.2;249.5;21.6;9;48907099999,48912599999,remote
Dong Thap;28/06/2015;33.1;25.1;29.1;24.7;78.8;0.4;21.6;239.4;1012.4;58;251.3;21.8;9;48907099999,48912599999,remote
Dong Thap;29/06/2015;33.1;25.1;29.3;24.8;78.1;0.2;25.9;255.7;1012.2;54.7;241.2;20.8;8;48907099999,48912599999,remote
Dong Thap;30/06/2015;34.1;26.1;29.6;24.7;76.1;0.1;25.2;254.9;1010.7;67;250;21.6;8;48907099999,48912599999,remote
Dong Thap;01/07/2015;33.1;27.1;29.8;24.9;75.9;0.4;29.4;255.4;1009.7;77.4;231.1;19.8;8;48907099999,48912599999,remote
Dong Thap;02/07/2015;31.1;27.1;29.1;24.9;78.9;0.1;33.5;255.2;1008.9;71.5;219.6;18.9;8;48907099999,48912599999,remote
Dong Thap;03/07/2015;33.1;27.1;29.7;25.1;77.2;0.1;28.8;260.5;1007.3;66.3;217.9;18.7;9;48907099999,48912599999,remote
