Date,ben luc,vam kenh,tan an,tra on,hung my,huong my,long thanh,cau ong thin,go quao,khanh thanh tan,son doc,soc trang,tra vinh,lang the,soctrang,dai ngai,bac lieu,my hoa,an thuan,xeo ro,ca mau,chu chi,hoa binh,tuyen nhon,bac trang,rach gia,my thanh,xuan khanh,thanh phu,cau noi,tran de,soc cung,cat lai,long toan,binh dai,vung liem,loc thuan,thoi binh,cau do,an ninh,giong trom,an lac tay,ben trai,ly nhan,dong tam,an dinh,thach phu,phuoc long,tra kha,cau quan,nha be,ninh thoi,my tho,song doc,ganh hao,long phu
2010-01-11,0.9,14.2,0.0,0.13,0.5,0.1,0.1,11.5,7.7,0.1,0.2,0.2,5.2,2.7,0.0,5.7,16.5,1.58,13.9,2.0,23.2,25.6,0.3,0.1,2.7,0.0,8.9,0.2,0.9,3.9,8.5,0.1,6.9,15.5,19.85,1.4,1.1,27.9,1.5,4.7,11.0,0.3,10.7,15.9,0.8,0.0,0.2,17.1,0.8,0.0,1.8,,0.7,28.2,18.4,0.6
2010-01-12,0.9,15.1,0.0,0.27,0.4,0.2,0.1,12.2,7.7,0.1,0.1,0.2,4.3,2.4,0.0,2.7,16.9,0.85,10.8,2.1,23.3,25.3,0.3,0.1,2.8,0.0,7.7,0.2,0.5,3.5,9.0,0.1,8.0,15.6,23.68,1.37,1.5,27.7,1.8,4.3,11.27,0.0,9.4,16.8,0.3,0.0,0.1,16.3,2.4,0.0,1.0,,0.1,27.7,18.5,0.4
2010-01-13,0.9,10.2,0.0,0.37,0.4,0.5,0.1,11.6,8.5,0.1,0.1,0.2,3.6,1.2,0.0,1.0,16.1,0.28,9.0,1.9,23.8,25.3,0.2,0.1,3.1,2.3,9.6,0.1,0.5,4.5,7.8,0.1,6.6,15.9,17.52,1.4,2.2,27.8,1.9,1.5,10.58,0.2,9.8,17.7,0.4,0.0,0.1,16.2,3.0,0.0,1.3,,0.0,27.8,18.6,0.5
2010-01-14,0.8,13.6,0.0,0.37,0.4,0.1,0.1,10.5,8.8,0.1,0.3,0.2,3.9,0.8,0.0,0.6,15.35,1.73,9.8,1.4,23.9,25.1,0.2,0.1,3.4,4.5,10.7,0.1,0.4,5.4,6.0,0.1,7.1,15.8,13.88,1.1,2.0,27.9,2.0,4.1,9.78,0.6,11.1,19.1,0.1,0.0,0.2,17.8,0.9,0.0,1.7,,0.0,27.2,19.9,0.7
2010-01-15,0.7,10.3,0.0,0.13,0.4,0.1,0.1,9.2,8.7,0.1,0.1,0.2,4.2,0.6,0.0,0.5,14.5,2.4,10.3,1.5,24.0,25.5,0.1,0.1,2.5,6.6,11.3,0.1,0.4,6.0,4.5,0.1,8.6,15.7,8.9,0.7,1.7,27.9,2.2,4.2,9.5,0.9,10.8,16.7,0.1,0.0,0.1,18.3,0.9,0.0,2.0,,0.2,27.2,19.4,0.9
2010-01-16,0.5,8.9,0.0,0.13,0.5,0.1,0.1,7.0,5.6,0.1,0.1,0.2,5.2,0.6,0.0,1.1,14.42,2.23,11.3,2.0,24.0,25.5,0.1,0.1,1.7,5.9,10.7,0.1,0.4,6.4,3.5,0.1,6.7,15.3,7.55,0.3,1.2,27.7,2.0,4.1,9.02,0.6,9.1,16.0,0.1,0.0,0.1,19.1,0.8,0.0,2.3,,0.4,27.3,18.5,0.3
2010-01-17,0.4,7.2,0.0,0.1,0.6,0.1,0.1,7.0,5.4,0.1,0.1,0.2,4.6,0.6,0.0,2.4,12.9,1.5,9.2,2.6,23.3,25.8,0.1,0.1,1.2,3.6,9.9,0.1,0.8,5.1,2.6,0.2,7.8,15.2,8.28,0.47,1.6,27.8,1.8,3.3,9.6,0.3,7.8,15.7,0.1,0.0,0.2,19.2,0.8,0.0,2.1,,0.7,27.2,18.4,0.1
2010-01-18,0.4,4.5,0.0,0.1,0.9,0.1,0.1,10.2,6.2,0.1,0.1,0.2,2.5,0.6,0.0,3.3,12.4,0.58,7.2,2.9,22.8,25.6,0.2,0.1,7.4,1.7,8.1,0.1,0.9,4.2,4.7,0.2,7.0,15.3,11.32,0.9,1.9,27.6,1.6,3.2,9.8,0.0,5.7,16.4,0.1,0.0,0.1,14.5,0.8,0.0,1.8,,0.4,27.1,18.4,0.1
2010-01-19,0.6,6.1,0.0,0.2,0.6,0.2,0.1,11.4,8.4,0.1,0.1,0.2,0.8,0.5,0.0,3.1,16.32,0.3,4.9,2.6,23.2,25.3,0.2,0.1,2.9,0.77,7.5,0.1,0.7,2.7,7.2,0.2,6.6,15.4,14.05,1.07,2.4,28.2,1.4,2.4,10.1,0.2,2.7,16.9,0.2,0.0,0.3,14.4,0.6,0.0,1.9,,0.1,27.3,18.5,0.1
2010-01-20,0.8,11.7,0.0,0.37,0.6,0.5,0.1,11.2,5.5,0.2,0.1,0.2,0.5,0.8,0.0,2.2,13.0,1.03,9.5,2.1,23.2,25.4,0.1,0.1,2.3,0.5,8.5,0.1,0.7,3.8,9.4,0.2,7.1,15.5,12.65,1.2,2.1,28.1,1.3,2.5,10.48,0.6,7.4,16.7,0.2,0.0,0.6,14.0,0.8,0.0,2.5,,0.0,28.3,19.3,0.2
2010-01-21,0.09,13.0,0.0,0.3,0.8,0.4,0.1,11.3,5.7,0.1,0.2,0.2,1.0,2.7,0.0,1.5,12.5,2.1,14.9,1.8,23.1,25.6,0.1,0.1,2.5,0.6,9.2,0.1,0.7,4.8,8.5,0.1,8.0,16.4,11.32,1.27,1.8,28.2,1.3,5.3,10.5,0.8,10.2,17.4,0.2,0.0,0.8,14.0,1.0,0.0,2.9,,0.1,29.7,19.5,0.4
2010-01-22,1.1,13.3,0.0,0.17,0.9,0.4,0.1,10.8,6.1,0.18,0.1,0.2,4.1,3.6,0.0,2.8,12.5,2.43,22.9,1.8,23.1,25.6,0.1,0.1,3.7,0.1,9.5,0.1,0.9,5.5,8.3,0.1,6.5,15.7,16.73,1.67,1.0,28.1,1.4,1.5,9.98,0.5,16.5,16.8,0.3,0.0,0.7,14.2,1.5,0.0,3.5,,0.9,29.6,19.5,1.0
2010-01-23,1.0,14.2,0.0,0.27,0.7,0.4,0.1,11.3,8.0,0.1,0.1,0.2,4.3,7.5,0.0,4.4,12.38,1.8,19.2,1.7,23.3,25.4,0.2,0.1,3.1,0.0,9.1,0.1,1.0,4.2,8.9,0.1,7.0,14.9,19.62,1.9,1.4,28.1,1.7,5.6,10.18,0.2,11.9,17.1,0.5,0.0,0.5,14.5,1.0,0.0,2.6,,0.7,27.3,18.5,1.2
2010-01-24,1.0,14.5,0.0,0.37,0.6,0.4,0.1,11.2,7.8,0.1,0.1,0.2,3.4,2.1,0.0,3.6,12.6,0.8,15.0,1.4,23.8,25.5,0.2,0.1,2.9,0.1,8.4,0.2,0.9,3.0,9.4,0.1,7.3,15.9,21.2,2.1,1.9,28.3,1.6,6.2,10.6,0.0,10.1,16.3,0.6,0.0,0.2,15.6,0.6,0.0,1.7,,0.4,27.2,18.5,0.7
2010-01-25,1.1,15.2,0.0,0.37,0.4,0.1,0.1,11.0,8.0,0.18,0.1,0.2,2.6,1.8,0.0,1.6,13.8,0.43,11.6,1.1,23.9,25.4,0.2,0.1,2.8,0.6,9.5,0.1,0.8,2.8,9.6,0.1,7.7,16.2,20.8,2.1,2.7,27.9,1.7,5.3,10.7,0.2,9.5,17.4,0.7,0.0,0.2,15.3,1.5,0.0,0.8,,0.1,27.3,18.6,0.5
2010-01-26,0.8,15.9,0.0,0.37,0.6,0.1,0.1,9.4,8.3,0.18,0.1,0.2,2.2,1.4,0.0,1.2,14.05,0.9,13.0,0.9,23.7,24.9,0.1,0.1,3.2,2.2,10.3,0.1,0.6,4.7,8.7,0.1,8.6,16.3,16.18,1.83,2.5,28.1,1.5,4.9,10.38,0.5,11.0,18.1,0.3,0.0,0.4,16.3,2.2,0.0,5.1,,0.0,27.3,19.3,0.4
2010-01-27,0.7,11.0,0.0,0.17,1.1,0.3,0.1,7.9,8.3,0.2,0.1,0.2,3.1,1.2,0.0,0.8,15.1,2.0,14.6,1.3,23.6,24.9,0.1,0.1,3.5,4.7,11.2,0.1,0.5,5.3,7.2,0.1,7.7,14.6,11.55,1.5,2.0,27.9,1.5,4.5,9.98,0.7,11.2,17.0,0.2,0.0,0.5,16.6,2.2,0.0,4.0,,0.2,27.8,19.6,0.7
2010-01-28,0.5,9.1,0.0,0.13,1.0,0.2,0.1,6.8,6.8,0.1,0.1,0.2,3.2,1.9,0.0,0.5,14.7,2.3,10.8,1.6,23.8,25.0,0.1,0.1,6.2,5.2,10.7,0.1,0.5,5.5,5.5,0.1,7.6,13.7,7.02,0.8,1.7,27.9,1.4,4.4,9.9,0.5,10.1,16.8,0.1,0.0,0.4,17.3,1.9,0.0,2.6,,0.4,27.92,19.7,0.5
2010-01-29,0.4,8.0,0.0,0.1,0.9,0.1,0.1,6.5,6.7,0.1,0.1,0.2,3.5,0.7,0.0,0.6,14.3,1.78,9.1,2.2,21.8,25.7,0.2,0.1,6.6,2.9,10.2,0.1,0.9,4.9,3.5,0.1,7.8,14.7,6.1,1.2,1.9,28.1,1.5,4.5,10.5,0.2,6.6,15.6,0.1,0.0,0.2,18.0,3.4,0.0,1.6,,0.5,27.9,18.6,0.3
2010-01-30,0.4,6.5,0.0,0.1,0.9,0.1,0.1,8.5,5.8,0.18,0.1,0.2,2.2,0.8,0.0,1.9,13.3,0.93,6.8,2.4,23.7,25.1,0.2,0.1,7.6,2.0,9.5,0.1,1.0,4.5,5.4,0.1,7.5,15.6,9.35,2.3,2.6,28.1,1.8,4.5,11.5,0.0,6.2,16.3,0.1,0.0,0.4,12.9,0.4,0.0,2.4,,0.4,28.0,18.6,0.2
2010-01-31,0.6,5.0,0.0,0.17,0.5,0.4,0.1,10.9,6.0,0.1,0.2,0.2,0.7,1.1,0.0,2.8,13.2,0.63,5.9,2.0,22.2,25.1,0.2,0.1,5.3,2.0,8.4,0.1,1.0,3.6,9.5,0.1,8.9,14.7,15.1,3.0,2.9,28.5,1.9,2.2,12.0,0.1,5.5,16.1,0.1,0.0,0.9,12.9,0.4,0.0,3.2,,0.3,28.1,19.4,0.3
2010-02-01,0.7,9.3,0.0,0.7,1.2,0.3,0.1,11.8,6.4,0.1,0.1,0.2,0.4,6.2,0.0,2.9,13.32,1.63,11.3,1.8,22.3,25.3,0.1,0.1,3.4,2.6,9.1,0.1,1.0,2.2,10.2,0.1,7.9,13.3,17.4,3.0,2.5,28.3,2.0,1.8,12.5,0.4,7.9,16.9,0.2,0.0,0.8,13.9,3.0,0.0,4.6,,0.1,28.5,19.5,0.7
2010-02-02,0.9,13.5,0.0,0.9,1.4,0.6,0.1,11.8,6.3,0.1,0.1,0.2,0.4,3.5,0.0,3.2,13.3,2.2,16.6,1.8,21.9,24.8,0.1,0.1,6.1,2.9,10.1,0.1,1.0,2.9,11.3,0.1,7.4,15.2,15.92,2.8,2.0,28.4,2.3,1.9,12.0,0.5,12.8,15.9,0.2,0.0,0.4,13.5,2.8,0.0,5.4,,0.2,29.3,19.3,1.5
2010-02-03,1.2,12.1,0.0,0.8,1.0,0.6,0.1,11.6,5.5,0.1,0.1,0.2,2.9,1.9,0.0,3.9,13.3,2.4,20.6,1.6,22.9,24.7,0.1,0.1,3.5,0.1,10.6,0.1,1.0,3.7,10.6,0.1,7.9,15.9,14.88,2.9,1.8,28.4,2.4,5.0,11.28,0.3,14.3,16.4,0.2,0.0,0.1,13.3,0.8,0.0,4.3,,0.4,29.8,18.6,2.3
2010-02-04,1.3,12.0,0.0,0.7,0.8,0.5,0.1,11.2,5.6,0.1,0.9,0.2,3.5,1.4,0.0,5.1,13.3,1.88,21.0,1.5,23.1,24.8,0.1,0.1,3.3,0.0,10.3,0.1,1.0,4.4,10.3,0.1,8.4,15.6,19.58,3.3,2.1,28.2,2.41,8.4,10.98,0.2,11.7,17.5,0.3,0.0,0.2,13.5,1.4,0.0,3.0,,0.6,28.2,19.5,2.8
2010-02-05,1.1,13.3,0.0,0.47,0.4,0.5,0.1,11.2,5.4,0.1,0.5,0.2,2.9,1.4,0.0,4.7,13.92,1.5,16.7,1.5,23.3,25.2,0.2,0.1,3.7,0.0,8.9,0.1,0.9,3.2,10.8,0.1,8.8,12.7,22.45,3.27,2.6,28.6,2.4,8.1,11.0,0.0,10.2,18.3,0.4,0.0,0.6,14.4,3.6,0.0,4.2,,0.6,28.0,19.5,2.7
2010-02-06,1.2,14.2,0.0,0.47,0.8,0.2,0.1,10.8,5.1,0.18,0.3,0.2,2.2,1.6,0.1,3.2,15.2,0.43,11.6,1.2,23.3,25.0,0.2,0.1,5.4,0.0,8.9,0.2,0.9,1.6,12.0,0.1,8.9,12.5,22.05,6.47,2.8,28.4,2.6,8.0,13.6,0.0,9.4,19.1,0.6,0.0,0.8,21.1,3.8,0.0,4.9,,0.1,27.9,19.7,1.4
2010-02-07,1.3,15.1,0.0,1.3,0.9,0.2,0.1,10.0,5.6,0.18,0.2,0.2,1.3,2.9,0.2,2.3,17.1,0.18,9.1,0.8,20.6,24.6,0.2,0.1,6.2,0.0,7.1,0.1,0.7,1.1,11.6,0.1,9.9,12.3,23.18,7.1,2.6,28.4,2.5,7.1,13.8,0.1,9.6,19.3,0.5,0.0,0.7,26.4,4.2,0.0,5.7,,0.0,27.7,18.6,1.0
2010-02-08,1.5,15.5,0.0,2.17,1.0,0.3,0.1,11.3,6.6,0.2,0.2,0.2,1.8,3.2,0.2,1.8,18.2,1.1,6.7,0.6,20.9,24.8,0.1,0.1,7.4,0.5,6.0,0.1,1.4,0.9,9.7,0.1,10.1,11.8,24.48,7.27,0.9,28.4,2.5,7.0,12.7,0.3,9.9,19.9,0.2,0.0,0.4,25.3,3.4,0.0,4.6,,0.0,27.5,18.5,2.6
2010-02-09,1.2,10.7,0.0,2.2,0.9,0.1,0.1,9.5,6.7,0.18,0.9,0.2,2.2,1.7,0.2,0.7,17.52,1.53,7.5,0.5,21.0,24.9,0.1,0.1,10.1,1.4,7.7,0.1,1.3,1.2,7.1,2.5,10.3,11.5,20.85,6.6,1.1,28.5,2.6,7.1,11.6,0.4,9.0,20.7,0.1,0.0,0.1,25.3,0.8,0.0,3.1,,0.0,27.2,18.4,4.0
2010-02-10,1.0,9.2,0.0,1.5,0.9,0.2,0.1,9.4,6.3,0.18,1.0,0.2,1.9,2.1,0.2,0.7,17.4,1.33,8.3,0.7,20.6,25.0,0.1,0.1,10.5,0.6,9.1,0.1,1.2,1.6,5.2,0.7,10.4,11.2,18.45,6.37,0.8,28.3,2.6,7.2,10.88,0.3,5.0,21.2,0.1,0.0,0.5,24.6,0.3,0.0,2.0,,0.1,27.3,18.4,4.4
2010-02-11,0.7,7.0,0.0,1.4,0.9,0.1,0.1,8.7,6.3,0.2,0.7,0.1,0.7,2.2,0.2,1.3,17.4,0.8,9.1,0.8,20.6,24.5,0.1,0.1,9.4,0.2,8.9,0.1,1.4,2.0,4.0,0.2,9.9,12.4,11.7,4.0,0.6,28.4,2.7,7.0,10.52,0.2,4.6,19.2,0.1,0.0,1.3,22.0,1.7,0.0,2.6,,0.2,27.6,18.4,2.4
2010-02-12,0.6,4.6,0.0,1.37,0.1,0.2,0.1,8.4,2.1,0.1,0.5,0.1,0.2,2.5,0.2,2.2,17.55,0.38,7.4,0.8,20.6,24.7,0.1,0.2,6.5,0.2,7.6,0.1,1.4,1.8,6.8,0.1,9.0,12.8,8.68,3.17,0.3,28.3,2.9,7.1,11.0,0.0,4.2,17.9,0.1,0.0,0.9,21.1,2.8,0.0,3.4,,0.2,29.1,18.4,1.3
2010-02-13,0.8,7.1,0.0,1.0,0.9,0.1,0.1,10.5,2.2,0.18,0.4,0.1,0.2,2.2,0.2,3.4,20.2,0.3,6.3,0.7,20.5,25.4,0.2,0.2,5.3,1.0,6.9,0.1,1.6,1.5,9.8,0.1,7.6,13.4,12.82,5.3,0.7,28.3,3.0,6.8,12.2,0.1,6.8,18.9,0.1,0.0,0.3,21.7,3.7,0.0,4.5,,0.1,29.0,18.4,0.4
2010-02-14,1.0,9.8,0.0,2.1,1.4,0.2,0.1,11.3,6.5,0.18,0.6,0.2,0.2,1.7,0.2,4.1,20.9,1.1,4.9,0.7,21.2,24.7,0.2,0.2,6.1,0.1,8.1,0.1,1.7,1.0,12.3,0.1,9.5,13.3,19.73,6.33,1.0,28.4,2.9,6.7,13.5,0.2,9.4,21.4,0.2,0.0,0.2,22.8,2.8,0.0,5.5,,0.1,28.4,18.4,0.3
2010-02-15,1.5,13.7,0.0,2.17,1.2,0.2,0.1,10.7,4.7,0.18,0.9,0.2,0.3,2.2,0.2,4.7,19.1,1.83,7.0,0.7,20.9,24.9,0.1,0.2,7.8,0.1,9.8,0.1,1.5,1.0,12.5,0.1,10.4,13.1,23.55,6.13,1.5,28.3,2.9,7.0,12.77,0.3,12.8,20.6,0.3,0.0,0.7,24.6,0.8,0.0,4.0,,0.3,27.9,18.4,2.2
2010-02-16,1.6,14.0,0.0,2.07,0.6,0.1,0.1,10.1,3.7,0.18,1.6,0.2,0.7,2.2,0.2,5.2,17.6,1.53,11.3,0.6,21.3,24.8,0.1,0.2,8.5,0.0,10.1,0.1,1.4,1.4,10.7,0.1,10.1,12.9,23.78,5.0,1.2,28.3,3.0,6.9,11.48,0.2,11.2,21.7,0.4,0.0,1.2,24.5,1.9,0.0,2.74,,0.4,27.5,18.2,4.0
2010-02-17,1.2,13.1,0.0,2.0,0.4,0.1,0.1,9.0,3.4,0.18,0.7,0.2,0.9,2.3,0.2,5.1,16.6,0.93,16.5,0.7,20.9,25.0,0.2,0.2,9.8,0.0,11.2,0.1,1.4,1.5,9.2,0.1,9.5,12.8,19.02,4.2,0.7,28.4,3.3,6.7,11.1,0.1,7.6,20.5,0.3,0.0,1.1,24.0,3.0,0.0,4.1,,0.2,27.6,18.7,4.9
2010-02-18,1.0,14.4,0.0,1.8,0.7,0.1,0.1,8.6,0.9,0.18,0.4,0.1,0.5,4.4,0.2,3.0,17.02,0.43,15.9,0.7,21.1,25.0,0.3,0.2,12.1,0.1,10.3,0.2,1.6,2.7,11.1,0.1,8.2,12.7,18.77,3.9,0.5,28.4,3.2,6.7,11.22,0.0,8.0,21.1,0.1,0.0,0.9,23.8,3.0,0.0,5.0,,0.1,27.6,17.3,2.5
2010-02-19,1.3,14.9,0.0,1.3,0.9,0.1,0.1,8.8,2.5,0.2,0.3,0.1,0.3,5.8,0.2,1.8,18.1,0.2,11.5,0.7,21.1,25.2,0.3,0.1,7.8,0.2,7.7,0.2,1.8,3.8,14.0,0.1,7.9,12.6,23.48,3.43,0.9,28.3,3.1,6.8,12.0,0.0,9.3,21.7,0.1,0.0,2.3,24.3,3.9,0.0,5.5,,0.0,27.9,18.3,1.6
2010-02-20,1.6,15.6,0.0,2.03,1.2,0.2,0.1,11.4,2.4,0.2,0.2,0.1,0.7,4.3,0.2,1.4,20.0,1.0,7.2,0.6,21.4,24.5,0.2,0.1,6.2,0.7,6.9,0.1,1.7,3.5,14.4,0.1,8.6,11.9,26.25,6.8,1.4,28.2,3.0,6.4,12.88,0.1,10.2,22.1,0.2,0.0,1.5,24.8,3.9,0.0,2.9,,0.0,27.6,18.3,1.7
2010-02-21,1.3,11.2,0.0,2.27,0.1,0.2,0.1,10.7,3.5,0.28,0.5,0.2,1.0,4.1,0.2,1.2,20.6,1.5,4.5,0.7,21.0,24.9,0.1,0.1,9.7,0.8,8.1,0.1,1.7,2.9,12.6,1.35,10.8,12.2,25.2,5.93,1.9,28.3,2.9,6.0,12.18,0.2,7.6,22.1,0.2,0.0,1.2,23.8,1.0,0.0,1.9,,0.0,27.4,18.4,3.4
2010-02-22,1.1,9.8,0.0,2.07,0.0,0.1,0.1,7.9,3.3,0.38,1.2,0.2,1.4,3.1,0.2,0.7,17.2,1.88,3.7,0.6,21.3,24.6,0.1,0.1,11.3,0.4,9.3,0.1,1.5,2.0,9.5,0.6,10.0,12.4,20.88,4.5,1.8,28.2,2.9,5.1,11.18,0.1,6.9,21.9,0.1,0.0,1.6,25.0,1.4,0.0,1.1,,0.0,27.6,18.4,4.0
2010-02-23,1.0,8.7,0.0,1.23,0.0,0.1,0.1,8.5,3.2,0.1,0.8,0.2,0.5,3.4,0.2,0.9,16.4,1.3,3.6,0.7,21.2,24.8,0.2,0.1,10.5,0.3,10.2,0.1,1.4,1.4,7.2,0.1,8.7,12.8,15.1,3.4,1.6,28.2,3.2,4.5,10.2,0.0,5.7,21.3,0.1,0.0,2.2,24.1,1.9,0.0,1.3,,0.1,27.6,18.3,3.4
2010-02-24,0.8,5.8,0.0,1.23,0.3,0.2,0.1,9.3,1.7,0.2,0.6,0.2,0.2,5.2,0.2,1.5,16.9,0.93,7.6,0.6,21.0,25.1,0.3,0.1,9.6,0.1,10.9,0.1,1.6,1.7,5.7,0.1,7.7,13.5,10.35,1.8,1.0,28.3,3.5,4.6,11.2,0.0,5.2,18.7,0.1,0.0,1.9,23.3,2.2,0.1,1.8,,0.1,29.5,18.4,1.8
2010-02-25,0.7,12.1,0.0,1.2,0.1,0.2,0.1,9.7,1.6,0.2,0.5,0.2,0.1,3.7,0.1,3.5,17.3,0.83,12.8,0.6,21.1,25.1,0.3,0.1,7.9,0.1,10.1,0.1,1.9,2.4,10.3,0.1,7.6,13.6,9.57,4.03,1.2,28.4,3.6,4.5,12.6,0.0,7.1,19.2,0.1,0.0,1.6,21.7,2.0,0.4,2.4,,0.1,30.3,18.4,0.4
2010-02-26,1.0,15.3,0.0,1.7,0.0,0.1,0.1,12.0,0.8,0.4,0.4,0.2,0.1,3.7,0.1,4.6,20.9,1.4,10.9,0.6,20.6,25.3,0.3,0.2,8.6,0.1,9.2,0.1,1.9,3.1,14.8,0.1,8.9,13.4,16.7,4.9,1.7,28.4,3.5,9.4,13.78,0.1,8.9,20.7,0.2,0.0,1.3,21.4,1.6,0.2,4.1,,0.1,30.2,15.7,0.2
2010-02-27,1.4,15.2,0.0,1.73,0.1,0.2,0.1,11.4,2.9,0.4,0.8,0.2,0.2,2.6,0.1,5.1,21.0,2.3,8.0,0.7,21.0,25.3,0.1,0.2,8.9,0.1,10.3,0.1,1.9,2.8,15.5,0.1,9.1,13.2,23.0,5.3,2.0,28.4,3.3,8.5,13.4,0.2,12.0,20.7,0.3,0.0,1.8,25.1,1.9,0.1,3.4,,0.1,30.0,14.3,1.6
